Bleaching,Ocean,Year,Depth,Storms,HumanImpact,Siltation,Dynamite,Poison,Sewage,Industrial,Commercial
0,Pacific,2007,8.0,1,1,1,0,0,1,0,0
0,Pacific,2007,7.0,1,2,1,0,0,1,0,0
0,Pacific,2009,10.6,1,2,1,0,0,1,0,0
0,Pacific,2007,6.0,1,2,1,0,0,1,0,0
0,Pacific,2007,7.3,1,2,1,0,0,1,0,0
0,Pacific,2009,2.1,1,2,0,0,0,0,0,0
0,Pacific,2007,5.0,1,1,1,0,0,1,0,0
0,Pacific,2007,6.0,1,1,1,0,0,1,0,0
0,Pacific,2008,7.0,1,1,1,0,0,1,0,0
0,Pacific,2009,6.0,1,1,1,0,0,1,0,0
0,Pacific,2007,4.0,1,3,1,0,0,1,0,0
0,Pacific,2008,4.5,1,3,1,0,0,1,0,0
0,Pacific,2008,6.0,1,3,1,0,0,1,0,0
0,Indian,2002,3.0,0,1,0,1,0,1,0,0
0,Indian,2002,10.0,0,1,0,1,0,1,0,0
0,East Pacific,2011,6.0,1,2,0,0,0,0,0,1
0,East Pacific,2011,12.0,1,2,0,0,0,0,0,1
0,East Pacific,2011,8.0,1,3,2,0,0,2,0,1
0,Indian,2003,3.5,1,2,0,0,0,1,1,1
0,Indian,2003,6.5,1,2,0,0,0,1,1,1
0,Indian,2004,3.5,1,2,0,0,0,1,1,1
0,Indian,2004,7.0,1,2,0,0,0,1,1,1
0,Indian,2005,4.0,1,2,0,0,0,1,1,1
0,Indian,2005,6.0,1,2,0,0,0,1,1,1
0,Indian,2006,8.0,1,2,0,0,0,1,1,1
0,Indian,2006,4.0,1,2,0,0,0,1,1,1
0,Indian,2007,4.0,1,2,0,0,0,1,1,1
0,Indian,2007,8.0,1,2,0,0,0,1,1,1
0,Indian,2003,6.0,0,1,0,0,0,0,0,1
0,Indian,2003,11.0,0,1,0,0,0,0,0,1
0,Indian,2004,5.5,0,1,0,0,0,0,0,1
0,Indian,2004,10.5,0,1,0,0,0,0,0,1
0,Indian,2005,6.0,0,1,0,0,0,0,0,1
0,Indian,2005,10.0,0,1,0,0,0,0,0,1
0,Indian,2006,6.0,0,1,0,0,0,0,0,1
0,Indian,2006,10.0,0,1,0,0,0,0,0,1
0,Indian,2007,4.0,0,1,0,0,0,0,0,1
0,Indian,2007,10.0,0,1,0,0,0,0,0,1
0,Indian,2002,3.0,1,2,0,2,2,1,0,0
0,Indian,2002,10.0,1,2,0,2,2,1,0,0
0,Pacific,2002,3.0,1,2,0,1,2,2,1,0
0,Pacific,2002,10.0,1,2,0,1,2,2,1,0
0,Pacific,2009,4.0,0,1,1,0,0,1,0,1
0,Pacific,2009,8.0,0,1,1,0,0,1,0,1
0,Pacific,2009,4.0,0,1,1,0,0,0,0,1
